Experiments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
BO-BC-BY-BU-BA-CA-EL-AC-RI-DL-DF,16,0,0,0,0,0.103169119,0,0.191725049,0.093086018,0.05392267,0,0,0.167028758,0,0.065174826,0.002191978,0,0,0.104922702,0,0,0,0.001753583,0,0.397332628,0.335664967,24.38000792,45.69887376,26.04438024,10.01289368
BO-BC-BY-BU-BA-CA-EL-AC-RI-DL-DF,32,0,0,0,0,0.058489712,0,0.190043621,0.113719342,0.0466,0,0,0.082652675,0,0.176619753,0.007670782,0,0,0.460246914,0,0,0,0.002109465,0,0.377977778,0.265984362,31.51506296,38.39809316,17.35838726,10.88981453
BO-BC-BY-BU-BA-CA-EL-AC-RI-DL-DF,48,0,0,0,0,0.036784594,0,0.157203812,0.0530723,0.021960952,0,0,0.113281909,0,0.205883922,0.023608023,0,0,0.400421352,0,0,0,0.000366016,0,0.547925744,0.149517479,45.05076968,34.35942768,1.07531227,11.16595572
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,0,0,0,0.0006,0.0006,0,0,0,0.0006,0.0006,0.0006,0.0006,0,0,0.0006,0.0006,0,0.0006,0,0.0006,0,0.0006,0,0,0,0,0,0,28,0
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,16,0,0,0.033567868,0.250080614,0,0,0,0.1599638,0.158027192,0.028145366,0.056548946,0,0,0.186947201,0.005422502,0,0.094377351,0,0.001291072,0,0.540571777,0,0,0,0,6.36688416,42.62972408,36.61382892,18.47539383
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,32,0,0,0.016128372,0.207364787,0,0,0,0.216581,0.10937476,0.015586242,0.05014704,0,0,0.108019435,0.003252781,0,0.318365938,0,0.002575118,0,0.362414014,0,0,0,0,6.16384488,40.4754818,35.41231574,21.66082517
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,48,0,0,0.012144654,0.234699098,0,0,0,0.170317799,0.061601197,0.009218231,0.0283863,0,0,0.202069485,0.032629613,0,0.334197469,0,0.002194817,0,0.199143063,0,0,0,0,6.33244568,39.02726388,35.3261547,24.27929375
BV-BF-BC-BY-BU-DP-BL-EL-CH-AC-CG,0,0,0,0.0006,0.0006,0,0,0.0006,0.0006,0.0006,0.0006,0.0006,0,0,0,0.0006,0,0.0006,0.0006,0,0.0006,0,0,0,0,0,0,0,28,0
BV-BF-BC-BY-BU-DP-BL-EL-CH-AC-CG,16,0,0,0.054411366,0.243565061,0,0,0.727331572,0.229517036,0.168180587,0.021962406,0.032053241,0,0,0,0.001385017,0,0.177282124,0.251875161,0,0.037593308,0,0,0,0,0,14.077442,43.37844228,27.60369324,19.50152374
BV-BF-BC-BY-BU-DP-BL-EL-CH-AC-CG,32,0,0,0.011425577,0.145386329,0,0,0.375388164,0.196387456,0.076667278,0.005961171,0.026162916,0,0,0,0.001324705,0,0.344588783,0.499744808,0,0.030633794,0,0,0,0,0,15.508096,41.50118988,29.33168139,21.45295114
BV-BF-BC-BY-BU-DP-BL-EL-CH-AC-CG,48,0,0,0.009863958,0.17171074,0,0,0.349261981,0.211945305,0.054251768,0.004412823,0.022064116,0,0,0,0.001297889,0,0.245950001,0.485150979,0,0.027385462,0,0,0,0,0,16.62176648,36.15114268,29.87791582,25.69858942
PJ-BF-DP-BL-BA-BP-CA-EL-BH-ER-DF,0,0,0.0006,0,0.0006,0,0,0,0,0,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0,0,0,0.0006,0,0.0006,0,0,0,0.0006,0,0,28,0
PJ-BF-DP-BL-BA-BP-CA-EL-BH-ER-DF,16,0,0.035065356,0,0.50686629,0,0,0,0,0,0.005362937,0.027777263,0.459424925,0.124447638,0.017876456,0.002475202,0,0,0,0.001512623,0,0.161438151,0,0,0,0.138061247,3.12915312,55.42600092,55.97307267,7.07977336
PJ-BF-DP-BL-BA-BP-CA-EL-BH-ER-DF,32,0,0.02803756,0,0.460746264,0,0,0,0,0,0.006331062,0.012403713,0.217711008,0.210863125,0.020156034,0.002454902,0,0,0,0.001162848,0,0.162540325,0,0,0,0.184763645,3.638734,61.89092628,59.43125642,7.21676762
PJ-BF-DP-BL-BA-BP-CA-EL-BH-ER-DF,48,0,0.03052718,0,0.591145051,0,0,0,0,0,0.004492294,0.008984588,0.041553719,0.098217882,0.002348245,0.002858733,0,0,0,0.001735659,0,0.163049853,0,0,0,0.277603349,4.4250316,62.81001008,62.0930627,10.3376641
PJ-BV-BF-BT-BC-BY-BU-CH-AC-RI-DF,0,0,0.0006,0.0006,0.0006,0,0.0006,0.0006,0.0006,0.0006,0,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0.0006,0,0,0.0006,0,0,28,0
PJ-BV-BF-BT-BC-BY-BU-CH-AC-RI-DF,16,0,0.019630402,0.023235986,0.228153343,0,0.290249511,0.575691577,0.166057174,0.095347666,0,0,0,0,0,0,0,0.104361626,0.274224694,0,0,0,0.004807445,0,0,0.365966775,21.73576104,45.05355692,14.87206769,25.32429628
PJ-BV-BF-BT-BC-BY-BU-CH-AC-RI-DF,32,0,0.012727646,0.014474578,0.124281719,0,0.189167757,0.295730597,0.086597905,0.062390421,0,0,0,0,0,0,0,0.098077742,0.576986615,0,0,0,0.00449211,0,0,0.474915886,21.9788744,35.78539248,14.47707512,27.94354902
PJ-BV-BF-BT-BC-BY-BU-CH-AC-RI-DF,48,0,0.009787272,0.012070969,0.15822756,0,0.217929918,0.347121905,0.104723808,0.048446995,0,0,0,0,0,0,0,0.176986498,0.412696626,0,0,0,0.002936182,0,0,0.348100632,22.36020304,33.26759064,16.94501164,32.94025047
PC-PJ-BC-BY-BU-CA-EL-AC-BH-ER-RI,0,0.0006,0.0006,0,0,0,0,0.0006,0.0006,0.0006,0,0,0,0,0.0006,0.0006,0,0,0.0006,0.0006,0,0.0006,0.0006,0,0,0,0,0,28,0
PC-PJ-BC-BY-BU-CA-EL-AC-BH-ER-RI,16,0.928893238,0.032993476,0,0,0,0,0.564580664,0.147893832,0.09021293,0,0,0,0,0.131743179,0.007613879,0,0,0.408150059,0.000692171,0,0.27640688,0.001845789,0,0,0,39.88575104,6.5165036,7.46695592,24.87882554
PC-PJ-BC-BY-BU-CA-EL-AC-BH-ER-RI,32,0.711425737,0.027108727,0,0,0,0,0.327979927,0.112536886,0.066166696,0,0,0,0,0.169251197,0.019261464,0,0,0.453179443,0.001248428,0,0.170856319,0.001248428,0,0,0,47.40061632,7.45156804,1.59716087,28.46613511
